texto,id,preds,probs
ELABORACION Y VENTAS DE EMPANADAS. POR MENOR Y MAYOR,123602,15.0,0.8145949244499207
SERVICIO DE MAESTRO CARPINTERO EN REPARACION DE VIVIENDAS A PARTICULARES,165061,19.0,0.9738863706588745
CONSULTORIO DE SALUD FAMILIAR,154065,1.0,0.953886866569519
FCA  ALIMENTOS   DESHIDRATADOS   FRUTAS   PURE  DE FRUTA   FRUTOS SECOS    SU VENTA  X MAYOR,13098,15.0,0.9342693090438843
GENDARMERIA  DE  CHILE,153460,14.0,0.9775651693344116
CULTIVO DE ARANDANOS,119930,9.0,0.9786295294761658
VENTA DE AGUA DE VERTIENTE AL DETALLE,33692,2.0,0.6928420066833496
(CONSTRUCCION TUNEL ) MINISTERIO DE OBRAS PUBLICAS,54618,14.0,0.9320718050003052
CONSTRUCCION PISCINAS A PARTICULARES,111535,19.0,0.9540400505065918
VENTA DE ASTILLAS COMERCIO MINORISTAS (COMPRA Y VENTA),114307,2.0,0.7912613749504089
EXTRACCION DE COBRE,141576,3.0,0.9498627185821533
ESCUELA MUNICIPAL PRE-BASICA Y BASICA,65613,18.0,0.9732841849327087
SERVICIO ENCARGADO DE COORDINAR LAS POLITICAS PUBLICAS DE JUVENTUD,140500,14.0,0.9300956726074219
SUPERMERCADO  CADENA NACIONAL  VENTA AL MENOR,172335,2.0,0.9817480444908142
MUNICIPALIDAD,126790,14.0,0.9783585667610168
VENTA  DE   ROPA  POR  CATALOGO   A  PEDIDO  AL  POR  MENOR,76208,2.0,0.9830172061920166
ELABORACION DE ASTILLAS DE PINO,37557,15.0,0.48492932319641113
B) SERMI SECRTARIA REGIONAL MINISTERIAL ( VIVIENDAS URBANISMO),116215,14.0,0.9630027413368225
VENTA DE  ROPA USADA  EN FERIA  LIBRE  (VARON MUJER  NIÑO ) POLERONES  JEANS  PARKAS  JUEGUETES  COMERCIO MINORISTA,116480,2.0,0.9832618236541748
CONSTRUCCION DE VIVIENDAS,164647,19.0,0.9752401113510132
SEDE SOCIAL COMUNITARIA PRIVADA,37381,1.0,0.8992336392402649
DISEÑO Y FABRICACION DE ENVASES DE CARTON,163793,15.0,0.9573808908462524
EDIFICIO  HABITACIONAL,130872,4.0,0.9407275915145874
ELABORACION DE PASTELES,182226,15.0,0.9607363343238831
