,texto,id,preds,probs
123602,ELABORACION Y VENTAS DE EMPANADAS. POR MENOR Y MAYOR,123602,3.0,0.7646882083494446
165061,SERVICIO DE MAESTRO CARPINTERO EN REPARACION DE VIVIENDAS A PARTICULARES,165061,6.0,0.996728898562637
154065,CONSULTORIO DE SALUD FAMILIAR,154065,17.0,0.9999014220775633
13098,FCA  ALIMENTOS   DESHIDRATADOS   FRUTAS   PURE  DE FRUTA   FRUTOS SECOS    SU VENTA  X MAYOR,13098,3.0,0.9905383682974002
153460,GENDARMERIA  DE  CHILE,153460,15.0,0.9986210821669849
119930,CULTIVO DE ARANDANOS,119930,1.0,0.9930876472857465
33692,VENTA DE AGUA DE VERTIENTE AL DETALLE,33692,7.0,0.4149835227178742
54618,(CONSTRUCCION TUNEL ) MINISTERIO DE OBRAS PUBLICAS,54618,15.0,0.9931868408538226
111535,CONSTRUCCION PISCINAS A PARTICULARES,111535,6.0,0.9985809245560489
114307,VENTA DE ASTILLAS COMERCIO MINORISTAS (COMPRA Y VENTA),114307,7.0,0.9877205979277722
