,texto_ciuo,id,preds,probs
61571,asistente contable auditoria,61571,3,0.6436347067785764
48661,dueño local comida,48661,5,0.5922691718782283
60651,profesora particular,60651,2,0.7876195259926385
42055,junior,42055,9,0.9902386971733819
24568,ayudante vidriero corta vidrios coloca vidrios ventanas limpeiza local,24568,9,0.9847738407991017
28348,ingeniera administracion asiste reuniones se encarga libros contabilidad empresa renumeraciones pago trabajadores,28348,1,0.6728460985045875
19204,profesor musica enseña tocar violin niños jovenes,19204,2,0.9764783790819445
63903,dueño negocio abarrotes,63903,5,0.4584048928757946
20434,comerciante dueño negocio administrar negocio abarrotes vende atender publico compra proveedores,20434,5,0.7334901556041087
52415,obrero agricola,52415,9,0.9990092483355962
13836,asesor ingenieria empresa contratista lipigas instalador autorizado gas clase experto calderas industriales fiscaliza instalaciones gas,13836,2,0.8692587265830869
5068,jefa mucamas cabañas recepcionar pasajeros instrucciones mucanas,5068,5,0.6860617118170175
36761,vendedor,36761,5,0.6047200944834883
27538,administar local administrar local maquina tragamonedas,27538,1,0.7505010633600422
31527,comerciante ambulante atencion clientes ventas cobro mercancia carga descarga mercancia,31527,5,0.6551280303904117
40271,tecnico juridico,40271,3,0.919279970137415
60038,gerente gral,60038,1,0.9978638662688183
35593,programador aplicaciones,35593,2,0.7454441575639947
44564,administrativo,44564,4,0.8052912185285839
17131,analisis financiera planificacion financiera empresa retail planificacion inversiones empresa retail,17131,1,0.6617340057439214
1681,administrar pensionista entregar alimento entregar alimento completo casa,1681,5,0.7056487410540189
26692,talador cortando arboles pino quemados rollizos motosierra,26692,6,0.9854444575117228
5224,cajera bancaria atencion publico arqueos,5224,4,0.8690674777768993
33075,laboratorista dental atencion pacientes hace protesis dentales atencion del local cobra servicios,33075,3,0.9869021808604306
47190,administrar carniceria,47190,7,0.7208430186655129
12789,personal aseo limpia barre hospital,12789,9,0.9157070947504379
23097,auxiliar bodega traslada arma ordena elementos escenografias productora,23097,9,0.957750017256941
43471,orfebre artesanal,43471,7,0.8174291088966332
53772,labores aseo empresa automotriz,53772,9,0.708416788965355
58195,soldador al arco,58195,7,0.9984264462009834
29029,profesor liceo tecnico preparar clases calificar pasar asistencia,29029,2,0.5503274188330531
66676,analista contable ver conciliaciones bancarias,66676,3,0.6923870157601106
52370,operario pesquera,52370,9,0.7310745464061701
36777,administrativa,36777,4,0.729181125665414
44073,dueña almacen,44073,5,0.7385327465735949
16471,encargada registro social hogar dirigir equipo supervisar,16471,2,0.565735746806344
10134,tecnico enfermeria asistencia paciente servicio medicina administrar medicamentos pacientes aseo colocar inyeccion etc,10134,3,0.987866774076357
