,texto_ciuo,id,preds,probs
61571,asistente contable auditoria,61571,3,0.4909649808698359
48661,dueño local comida,48661,5,0.6014981926949241
60651,profesora particular,60651,2,0.7783238087478842
42055,junior,42055,9,0.9232925647324116
24568,ayudante vidriero corta vidrios coloca vidrios ventanas limpeiza local,24568,9,0.9386415852689308
28348,ingeniera administracion asiste reuniones se encarga libros contabilidad empresa renumeraciones pago trabajadores,28348,2,0.715296105885956
19204,profesor musica enseña tocar violin niños jovenes,19204,2,0.848959427840994
63903,dueño negocio abarrotes,63903,5,0.7446123166524367
20434,comerciante dueño negocio administrar negocio abarrotes vende atender publico compra proveedores,20434,5,0.9930015100485194
52415,obrero agricola,52415,9,0.9987680421534001
